Scan Time,UTC Time,Latitude (deg),Longitude (deg),Altitude (m),Easting (m),Northing (m),COG (deg),SOG (km/h),Dead Reckoning,Num SVs,HDOP,
0.193333333333333,2019:09:29:18:10:15.4,39.2576416666667,-76.705525,43.3,0,0,353.2,0.2,0,8,100,
0.393333333333333,2019:09:29:18:10:15.6,39.25764,-76.7055266666667,43.3,0,0,353.2,1.3,0,8,100,
0.5925,2019:09:29:18:10:15.8,39.2576366666667,-76.70553,43.3,0,0,353.2,0.5,0,8,100,
0.795,2019:09:29:18:10:16.0,39.257635,-76.7055316666667,43.3,0,0,353.2,0.2,0,8,100,
0.9925,2019:09:29:18:10:16.2,39.2576333333333,-76.7055333333333,43.4,0,0,353.2,1.5,0,8,100,
1.1925,2019:09:29:18:10:16.4,39.2576333333333,-76.705535,43.6,0,0,353.2,1.1,0,8,100,
1.3925,2019:09:29:18:10:16.6,39.2576316666667,-76.705535,43.6,0,0,353.2,0.5,0,8,100,
1.59166666666667,2019:09:29:18:10:16.8,39.25763,-76.7055366666667,43.7,0,0,353.2,1.6,0,8,100,
1.7925,2019:09:29:18:10:17.0,39.2576283333333,-76.7055383333333,43.9,0,0,353.2,0,0,8,100,
1.9925,2019:09:29:18:10:17.2,39.2576266666667,-76.705535,44,0,0,353.2,0.5,0,8,100,
2.19166666666667,2019:09:29:18:10:17.4,39.2576233333333,-76.7055316666667,44.2,0,0,353.2,0.7,0,8,100,
2.395,2019:09:29:18:10:17.6,39.257625,-76.70553,44.2,0,0,353.2,1.3,0,8,100,
2.5925,2019:09:29:18:10:17.8,39.2576266666667,-76.705525,44.1,0,0,353.2,1.5,0,8,100,
2.79333333333333,2019:09:29:18:10:18.0,39.2576266666667,-76.705525,44.1,0,0,353.2,1.6,0,8,100,
3.05583333333333,2019:09:29:18:10:18.4,39.2576266666667,-76.70552,44.1,0,0,353.2,1.6,0,8,100,
3.255,2019:09:29:18:10:18.6,39.2576283333333,-76.7055183333333,44.2,0,0,353.2,0.7,0,8,100,
